YEAR,MO,DY,HR,Avg Power,Irradiance(Ideal),Temperature,Precipitation,Wind Speed,Wind Direction,Specific Humidity,Wind Speed(50M),Wind Direction(50M),Surface Pressure,Relative Humidity,PM2.5,PM10,WS,WD
2021,1,7,5,0.0,0.0,8.94,0.07,2.6,333.59,7.51,5.47,333.54,98.77,100.0,54.76,153.45,0.76,326.32
2021,1,7,6,0.0,0.0,8.52,0.04,2.58,328.38,7.2,5.5,328.48,98.84,100.0,60.48,134.42,0.47,315.91
2021,1,7,7,208.44,28.51,10.09,0.02,3.3,322.51,7.39,5.08,323.06,98.92,94.75,76.8,133.36,0.61,332.35
2021,1,7,8,416.88,99.18,11.8,0.0,3.32,319.3,7.81,3.67,319.49,98.99,89.38,50.66,128.34,0.65,323.33
2021,1,7,9,6369.32,169.03,14.84,0.0,2.85,322.69,8.24,3.23,324.54,99.03,77.44,62.31,138.03,0.91,308.77
2021,1,7,10,4326.68,251.14,18.62,0.0,2.71,327.82,7.81,2.9,327.98,98.98,57.62,42.18,140.5,0.81,325.58
2021,1,7,11,9268.68,232.65,19.78,0.0,2.01,321.48,7.45,2.11,321.9,98.87,51.25,60.99,147.15,1.07,253.31
2021,1,7,12,13127.32,263.19,20.38,0.0,1.69,310.31,7.32,1.76,311.04,98.75,48.25,75.04,146.6,0.98,336.94
2021,1,7,13,15762.32,223.23,20.54,0.0,1.61,298.06,7.14,1.68,298.59,98.67,46.81,67.3,150.96,1.0,310.84
2021,1,7,14,9241.0,199.44,20.32,0.0,1.73,287.86,6.96,1.85,288.21,98.61,46.12,102.76,152.4,1.24,247.07
2021,1,7,15,5316.68,120.14,19.54,0.0,1.97,284.26,6.9,2.24,284.52,98.58,47.88,82.17,153.93,1.06,176.06
2021,1,7,16,3614.32,34.12,16.75,0.0,1.75,287.63,7.51,2.91,287.32,98.58,62.25,74.95,149.43,0.88,323.73
2021,1,7,17,0.0,0.0,14.32,0.0,2.21,294.93,6.96,3.55,294.59,98.61,67.0,69.93,154.72,0.68,341.26
2021,1,7,18,0.0,0.0,13.33,0.0,2.35,303.48,6.84,3.86,303.01,98.67,70.56,52.27,156.83,0.93,348.57
2021,1,7,19,0.0,0.0,12.53,0.0,2.42,312.39,6.77,4.0,311.91,98.72,73.81,45.29,162.39,0.53,348.47
2021,1,7,20,0.0,0.0,11.85,0.0,2.48,319.73,6.71,4.12,319.39,98.74,76.56,63.26,176.32,0.46,345.71
2021,1,7,21,0.0,0.0,11.28,0.0,2.52,324.83,6.65,4.19,324.41,98.74,78.75,68.09,201.22,0.31,202.06
2021,1,7,22,0.0,0.0,10.75,0.0,2.57,327.9,6.59,4.3,327.7,98.71,80.81,59.48,180.9,0.61,265.0
2021,1,7,23,0.0,0.0,10.23,0.0,2.66,330.19,6.53,4.52,329.89,98.68,83.0,63.66,173.09,0.62,346.71
2021,1,8,0,0.0,0.0,9.76,0.0,2.73,333.43,6.53,4.7,333.14,98.65,85.06,69.05,150.37,0.36,102.85
2021,1,8,1,0.0,0.0,9.29,0.0,2.77,339.22,6.47,4.89,339.05,98.63,87.12,47.31,126.75,0.24,325.65
2021,1,8,2,0.0,0.0,8.84,0.0,2.8,347.25,6.41,5.03,347.09,98.59,89.19,36.65,102.81,0.43,331.08
2021,1,8,3,0.0,0.0,8.44,0.0,2.76,357.4,6.41,4.99,357.22,98.56,91.12,29.85,99.29,0.36,120.19
2021,1,8,4,0.0,0.0,8.12,0.0,2.68,8.89,6.35,4.81,8.7,98.56,92.81,26.88,68.37,0.29,58.28
2021,1,8,5,0.0,0.0,7.97,0.0,2.58,20.58,6.35,4.56,20.54,98.61,93.75,26.4,83.77,0.49,35.98
2021,1,8,6,0.0,0.0,7.98,0.0,2.42,32.2,6.35,4.16,32.11,98.68,93.88,34.11,80.27,0.78,21.88
